epoch,temperature,currentCost,bestCost,acceptedWorse,acceptedBetter
180,20384.6,6.71016e+07,6.63379e+07,233864,233746
181,20282.6,6.76592e+07,6.61069e+07,233871,233389
182,20181.2,6.72395e+07,6.61069e+07,233521,233540
183,20080.3,6.69726e+07,6.61069e+07,233916,232920
184,19979.9,6.72431e+07,6.61069e+07,233311,233349
185,19880,6.72178e+07,6.61069e+07,233066,233462
186,19780.6,6.74491e+07,6.61069e+07,232981,233484
187,19681.7,6.74001e+07,6.61069e+07,233323,233269
188,19583.3,6.72684e+07,6.61069e+07,233026,232991
189,19485.4,6.66214e+07,6.61069e+07,232882,233158
190,19388,6.65976e+07,6.61069e+07,232753,232937
191,19291,6.69221e+07,6.61069e+07,232861,232862
192,19194.6,6.67898e+07,6.61069e+07,233154,232221
193,19098.6,6.7122e+07,6.61069e+07,232636,232535
194,19003.1,6.65123e+07,6.61069e+07,232593,232306
195,18908.1,6.6997e+07,6.60253e+07,232522,232246
196,18813.5,6.72525e+07,6.60253e+07,232508,232389
197,18719.5,6.71002e+07,6.60253e+07,232665,232321
198,18625.9,6.69612e+07,6.60253e+07,232206,232103
199,18532.8,6.67484e+07,6.60253e+07,231825,232048
200,18440.1,6.71393e+07,6.60253e+07,232029,232466
201,18347.9,6.66237e+07,6.60253e+07,232132,231437
202,18256.2,6.72184e+07,6.60253e+07,231699,231928
203,18164.9,6.70177e+07,6.57029e+07,231842,231533
204,18074,6.70352e+07,6.57029e+07,231606,231750
205,17983.7,6.66022e+07,6.57029e+07,231828,231405
206,17893.8,6.66895e+07,6.57029e+07,231203,231577
207,17804.3,6.71256e+07,6.57029e+07,231490,231212
208,17715.3,6.68044e+07,6.57029e+07,231002,231471
209,17626.7,6.67289e+07,6.57029e+07,230821,231328
210,17538.6,6.68012e+07,6.57029e+07,230775,231471
211,17450.9,6.6934e+07,6.57029e+07,230765,231421
212,17363.6,6.62752e+07,6.57029e+07,230922,230857
213,17276.8,6.65389e+07,6.57029e+07,230961,230931
214,17190.4,6.61746e+07,6.57029e+07,230683,230376
215,17104.5,6.64704e+07,6.57029e+07,230733,230238
216,17018.9,6.68461e+07,6.57029e+07,230660,230396
217,16933.8,6.65353e+07,6.57029e+07,230635,230116
218,16849.2,6.64589e+07,6.559e+07,230603,229813
219,16764.9,6.60417e+07,6.559e+07,230227,229822
220,16681.1,6.65073e+07,6.559e+07,230168,230228
221,16597.7,6.66943e+07,6.559e+07,230153,230413
222,16514.7,6.6684e+07,6.559e+07,229851,229741
223,16432.1,6.60128e+07,6.54459e+07,229552,230009
224,16350,6.62193e+07,6.54459e+07,229378,229800
225,16268.2,6.60428e+07,6.54459e+07,229592,229380
226,16186.9,6.66876e+07,6.54459e+07,229557,229548
227,16105.9,6.64354e+07,6.54459e+07,229381,229359
228,16025.4,6.62797e+07,6.54459e+07,229541,228887
229,15945.3,6.64418e+07,6.54459e+07,229072,229224
230,15865.6,6.57691e+07,6.54459e+07,228693,228824
231,15786.2,6.65581e+07,6.54459e+07,228964,228540
232,15707.3,6.61271e+07,6.54459e+07,228830,228981
233,15628.8,6.61847e+07,6.54459e+07,228564,228389
234,15550.6,6.57355e+07,6.5354e+07,228327,228341
235,15472.9,6.62196e+07,6.5354e+07,228379,228524
236,15395.5,6.63484e+07,6.5354e+07,228451,228485
237,15318.5,6.62628e+07,6.5354e+07,228497,228176
238,15241.9,6.62886e+07,6.53391e+07,228432,228016
239,15165.7,6.63966e+07,6.52527e+07,227909,228376
240,15089.9,6.57606e+07,6.52527e+07,227905,228256
241,15014.4,6.61977e+07,6.52527e+07,227232,228216
242,14939.4,6.6346e+07,6.52527e+07,228067,227342
243,14864.7,6.60633e+07,6.52527e+07,227564,228019
244,14790.4,6.64379e+07,6.51736e+07,227746,227415
245,14716.4,6.57729e+07,6.5096e+07,227299,227448
246,14642.8,6.58948e+07,6.5096e+07,226784,227726
247,14569.6,6.57953e+07,6.5096e+07,226719,227328
248,14496.8,6.60182e+07,6.5096e+07,227187,226748
249,14424.3,6.58722e+07,6.49774e+07,227119,226403
250,14352.2,6.57723e+07,6.49774e+07,226585,226776
251,14280.4,6.566e+07,6.49209e+07,226499,226335
252,14209,6.57087e+07,6.49209e+07,226605,226344
253,14137.9,6.57407e+07,6.49209e+07,226582,226316
254,14067.3,6.63376e+07,6.49209e+07,226372,226128
255,13996.9,6.51693e+07,6.48364e+07,225735,226225
256,13926.9,6.52287e+07,6.48364e+07,225768,225696
257,13857.3,6.52974e+07,6.48251e+07,225622,225967
258,13788,6.5901e+07,6.47656e+07,226323,225448
259,13719.1,6.50465e+07,6.47656e+07,226051,226026
260,13650.5,6.55198e+07,6.47656e+07,225583,225570
261,13582.2,6.52046e+07,6.47656e+07,225852,224960
262,13514.3,6.55897e+07,6.44066e+07,225332,225060
263,13446.7,6.54264e+07,6.44066e+07,225434,225141
264,13379.5,6.54797e+07,6.44066e+07,225424,224818
265,13312.6,6.56743e+07,6.44066e+07,224545,225067
266,13246.1,6.54436e+07,6.44066e+07,224513,224777
267,13179.8,6.53626e+07,6.44066e+07,224426,224812
268,13113.9,6.5518e+07,6.44066e+07,224243,224443
269,13048.4,6.55059e+07,6.43806e+07,224632,224135
270,12983.1,6.44442e+07,6.43799e+07,224198,224426
271,12918.2,6.53504e+07,6.43348e+07,223985,224296
272,12853.6,6.48762e+07,6.43348e+07,224046,223636
273,12789.3,6.51399e+07,6.42081e+07,223694,223804
274,12725.4,6.58631e+07,6.42081e+07,223413,224231
275,12661.8,6.51224e+07,6.42081e+07,223291,223778
276,12598.5,6.4979e+07,6.42081e+07,223694,223248
277,12535.5,6.53956e+07,6.42081e+07,224149,223018
278,12472.8,6.51198e+07,6.42081e+07,223222,222837
279,12410.4,6.4922e+07,6.40964e+07,222884,222932
280,12348.4,6.51847e+07,6.40964e+07,222581,223252
281,12286.6,6.46645e+07,6.40964e+07,222509,223101
282,12225.2,6.49755e+07,6.40964e+07,222728,222423
283,12164.1,6.49265e+07,6.40964e+07,222584,222569
284,12103.2,6.48518e+07,6.40381e+07,221899,222684
285,12042.7,6.49922e+07,6.38964e+07,221912,222156
286,11982.5,6.47421e+07,6.38964e+07,221990,222157
287,11922.6,6.49506e+07,6.37533e+07,221598,222069
288,11863,6.49536e+07,6.37533e+07,221859,221813
289,11803.7,6.4664e+07,6.37533e+07,221930,221573
290,11744.7,6.47472e+07,6.36817e+07,221570,220902
291,11685.9,6.46216e+07,6.36817e+07,221342,221075
292,11627.5,6.43691e+07,6.36817e+07,221116,221018
293,11569.4,6.44873e+07,6.36817e+07,220931,221071
294,11511.5,6.45904e+07,6.36817e+07,221349,220674
295,11454,6.49313e+07,6.36817e+07,220413,220999
296,11396.7,6.44699e+07,6.36817e+07,220451,220626
297,11339.7,6.44509e+07,6.36817e+07,220469,220555
298,11283,6.4394e+07,6.36817e+07,220215,220309
299,11226.6,6.44604e+07,6.36073e+07,220265,220025
300,11170.5,6.38954e+07,6.35904e+07,220163,219472
301,11114.6,6.43256e+07,6.3474e+07,219902,219537
302,11059,6.45619e+07,6.3474e+07,219988,219575
303,11003.7,6.44249e+07,6.3474e+07,219394,219321
304,10948.7,6.40636e+07,6.30811e+07,219591,219145
305,10894,6.40166e+07,6.30811e+07,219211,219349
306,10839.5,6.399e+07,6.30811e+07,219029,219219
307,10785.3,6.45842e+07,6.30811e+07,218846,218708
308,10731.4,6.40823e+07,6.30811e+07,218130,218909
309,10677.7,6.36493e+07,6.30811e+07,218304,218376
310,10624.3,6.43617e+07,6.30811e+07,218062,218400
311,10571.2,6.44711e+07,6.30811e+07,218166,218154
312,10518.4,6.38371e+07,6.30811e+07,218146,218163
313,10465.8,6.37251e+07,6.30699e+07,217503,218133
314,10413.4,6.35522e+07,6.30699e+07,217488,217910
315,10361.4,6.37609e+07,6.30699e+07,217470,217240
316,10309.6,6.41248e+07,6.30572e+07,217137,217242
317,10258,6.36965e+07,6.30572e+07,217120,217234
318,10206.7,6.3547e+07,6.30264e+07,216912,216529
319,10155.7,6.33849e+07,6.30003e+07,217008,216475
320,10104.9,6.35141e+07,6.28653e+07,216786,216912
321,10054.4,6.31821e+07,6.28653e+07,216670,216516
322,10004.1,6.33343e+07,6.26998e+07,215845,216461
323,9954.1,6.37265e+07,6.26998e+07,216103,216503
324,9904.33,6.33832e+07,6.26998e+07,216388,215894
325,9854.81,6.33564e+07,6.26998e+07,215934,215929
326,9805.53,6.3618e+07,6.25742e+07,215704,215788
327,9756.51,6.35162e+07,6.25742e+07,215799,215503
328,9707.72,6.37699e+07,6.25742e+07,215644,215098
329,9659.19,6.31457e+07,6.25742e+07,214907,215086
330,9610.89,6.31738e+07,6.24003e+07,214710,215188
331,9562.83,6.35381e+07,6.24003e+07,214578,215427
332,9515.02,6.29548e+07,6.23484e+07,214701,214199
333,9467.45,6.309e+07,6.23484e+07,214070,214388
334,9420.11,6.33831e+07,6.23484e+07,214484,213615
335,9373.01,6.31968e+07,6.23484e+07,214330,214148
336,9326.14,6.30253e+07,6.23484e+07,213730,214028
337,9279.51,6.23514e+07,6.21246e+07,213659,213410
338,9233.11,6.33191e+07,6.21246e+07,214069,213054
339,9186.95,6.36888e+07,6.21246e+07,213601,212871
340,9141.01,6.32452e+07,6.21246e+07,213050,213222
341,9095.31,6.3287e+07,6.20909e+07,212992,212903
342,9049.83,6.25373e+07,6.2031e+07,212492,213033
343,9004.58,6.28998e+07,6.17889e+07,212846,212035
344,8959.56,6.27771e+07,6.17889e+07,212735,212569
345,8914.76,6.22649e+07,6.17889e+07,212685,211739
346,8870.19,6.2118e+07,6.17392e+07,212005,211905
347,8825.84,6.26996e+07,6.17392e+07,212441,211493
348,8781.71,6.24943e+07,6.17392e+07,211333,211765
349,8737.8,6.22758e+07,6.15919e+07,211229,211535
350,8694.11,6.26274e+07,6.14968e+07,210846,211516
351,8650.64,6.2587e+07,6.14968e+07,211415,210807
352,8607.39,6.20387e+07,6.14968e+07,210985,210814
353,8564.35,6.20621e+07,6.13173e+07,210301,210365
354,8521.53,6.23003e+07,6.13173e+07,210587,210199
355,8478.92,6.22471e+07,6.13173e+07,209880,210174
356,8436.53,6.2239e+07,6.13173e+07,209865,210240
357,8394.34,6.15027e+07,6.13173e+07,209981,210095
