epoch,temperature,currentCost,bestCost,acceptedWorse,acceptedBetter
246,14642.8,1.40231e+07,1.35821e+07,240069,239887
247,14569.6,1.39255e+07,1.35821e+07,239664,240204
248,14496.8,1.3925e+07,1.35821e+07,240027,239803
249,14424.3,1.39187e+07,1.358e+07,239644,240227
250,14352.2,1.38936e+07,1.358e+07,240090,239910
251,14280.4,1.39913e+07,1.358e+07,239911,239760
252,14209,1.4064e+07,1.35288e+07,239385,239884
253,14137.9,1.3979e+07,1.35288e+07,239838,239634
254,14067.3,1.39033e+07,1.35288e+07,239977,239297
255,13996.9,1.39311e+07,1.35288e+07,239610,239727
256,13926.9,1.40142e+07,1.35288e+07,239510,239363
257,13857.3,1.39086e+07,1.35288e+07,239552,239487
258,13788,1.38873e+07,1.35288e+07,239583,239596
259,13719.1,1.3933e+07,1.35288e+07,239192,239686
260,13650.5,1.39287e+07,1.35288e+07,239425,239588
261,13582.2,1.38605e+07,1.35288e+07,238906,239207
262,13514.3,1.40155e+07,1.34687e+07,239738,238962
263,13446.7,1.38688e+07,1.34687e+07,238934,239293
264,13379.5,1.37863e+07,1.34687e+07,238665,239509
265,13312.6,1.39255e+07,1.34687e+07,238998,239202
266,13246.1,1.37519e+07,1.34687e+07,238812,239535
267,13179.8,1.38479e+07,1.34687e+07,238866,238792
268,13113.9,1.38752e+07,1.34687e+07,238933,238931
269,13048.4,1.3841e+07,1.34687e+07,239032,238780
270,12983.1,1.39305e+07,1.34687e+07,238719,238855
271,12918.2,1.38161e+07,1.34687e+07,238726,238680
272,12853.6,1.38442e+07,1.34687e+07,238581,238583
273,12789.3,1.38343e+07,1.34687e+07,238721,238218
274,12725.4,1.39049e+07,1.34687e+07,238516,238641
275,12661.8,1.36735e+07,1.34425e+07,238537,238026
276,12598.5,1.3875e+07,1.34425e+07,238311,238513
277,12535.5,1.37687e+07,1.34425e+07,238609,238374
278,12472.8,1.38666e+07,1.34425e+07,238633,237883
279,12410.4,1.38226e+07,1.34425e+07,238015,238253
280,12348.4,1.39165e+07,1.34425e+07,238040,238229
281,12286.6,1.37894e+07,1.34425e+07,237893,238368
282,12225.2,1.39773e+07,1.34425e+07,237524,238474
283,12164.1,1.37864e+07,1.34425e+07,238035,237983
284,12103.2,1.39118e+07,1.34425e+07,237926,237718
285,12042.7,1.3914e+07,1.34425e+07,237886,237639
286,11982.5,1.37682e+07,1.34425e+07,237807,237411
287,11922.6,1.38197e+07,1.34425e+07,237466,237907
288,11863,1.37167e+07,1.34425e+07,237553,238099
289,11803.7,1.39393e+07,1.34425e+07,237238,237957
290,11744.7,1.37766e+07,1.34425e+07,237596,237326
291,11685.9,1.37669e+07,1.34398e+07,236911,237709
292,11627.5,1.37869e+07,1.3433e+07,237055,237329
293,11569.4,1.36981e+07,1.3433e+07,237359,237289
294,11511.5,1.36158e+07,1.3433e+07,237243,237252
295,11454,1.37028e+07,1.34074e+07,237144,236795
296,11396.7,1.36259e+07,1.34074e+07,237292,237068
297,11339.7,1.37983e+07,1.34074e+07,236990,237131
298,11283,1.3946e+07,1.33483e+07,237178,236755
299,11226.6,1.3754e+07,1.33483e+07,236624,236984
300,11170.5,1.36924e+07,1.33483e+07,236693,236683
301,11114.6,1.35377e+07,1.33483e+07,236795,236387
302,11059,1.36675e+07,1.33483e+07,236318,236697
303,11003.7,1.37939e+07,1.33483e+07,236876,236242
304,10948.7,1.36889e+07,1.3329e+07,236256,236719
305,10894,1.36289e+07,1.3329e+07,236692,236573
306,10839.5,1.37642e+07,1.3329e+07,236651,236122
307,10785.3,1.35997e+07,1.3329e+07,236338,236120
308,10731.4,1.36918e+07,1.3329e+07,236146,236092
309,10677.7,1.38353e+07,1.3329e+07,236237,236345
310,10624.3,1.37017e+07,1.3329e+07,236358,235601
311,10571.2,1.37373e+07,1.33037e+07,235646,235979
312,10518.4,1.36063e+07,1.33037e+07,235746,235843
313,10465.8,1.36924e+07,1.33037e+07,235416,236070
314,10413.4,1.3544e+07,1.33037e+07,236135,235401
315,10361.4,1.35469e+07,1.33037e+07,235150,236054
316,10309.6,1.37666e+07,1.33037e+07,235838,235507
317,10258,1.3717e+07,1.33037e+07,235932,235420
318,10206.7,1.37094e+07,1.33037e+07,235633,235509
319,10155.7,1.36524e+07,1.33037e+07,235319,235495
320,10104.9,1.35287e+07,1.32761e+07,235084,235397
321,10054.4,1.35094e+07,1.32761e+07,235525,235275
322,10004.1,1.37386e+07,1.32761e+07,235499,234829
323,9954.1,1.35198e+07,1.32761e+07,234689,235622
324,9904.33,1.37429e+07,1.32743e+07,235274,234879
325,9854.81,1.35498e+07,1.32743e+07,235356,234519
326,9805.53,1.37284e+07,1.32743e+07,234492,235156
327,9756.51,1.35543e+07,1.32743e+07,234369,235309
328,9707.72,1.34442e+07,1.32743e+07,235003,234477
329,9659.19,1.35853e+07,1.32743e+07,234343,234521
330,9610.89,1.35245e+07,1.32743e+07,234747,234616
331,9562.83,1.36624e+07,1.32743e+07,234742,234193
332,9515.02,1.37988e+07,1.32569e+07,234225,234488
333,9467.45,1.3647e+07,1.32569e+07,234165,234316
334,9420.11,1.35481e+07,1.32569e+07,234123,234554
335,9373.01,1.35868e+07,1.32569e+07,234093,234017
336,9326.14,1.36937e+07,1.32052e+07,234031,234118
337,9279.51,1.34901e+07,1.32052e+07,233912,233707
338,9233.11,1.3499e+07,1.32052e+07,234114,233375
339,9186.95,1.34528e+07,1.32052e+07,234029,233769
340,9141.01,1.34187e+07,1.32052e+07,233186,234232
341,9095.31,1.35458e+07,1.32052e+07,234096,233302
342,9049.83,1.35987e+07,1.32052e+07,233344,234002
343,9004.58,1.34256e+07,1.32052e+07,233807,232934
344,8959.56,1.36244e+07,1.32052e+07,233478,233230
345,8914.76,1.34557e+07,1.32052e+07,233463,233082
346,8870.19,1.36241e+07,1.31851e+07,233694,232688
347,8825.84,1.35238e+07,1.31762e+07,233116,233083
348,8781.71,1.34507e+07,1.31738e+07,233402,232611
349,8737.8,1.33871e+07,1.31738e+07,233064,232837
350,8694.11,1.33358e+07,1.31738e+07,233280,232277
351,8650.64,1.33823e+07,1.31535e+07,232584,232795
352,8607.39,1.36092e+07,1.31535e+07,232830,232368
353,8564.35,1.35102e+07,1.31535e+07,232473,232772
354,8521.53,1.34284e+07,1.30694e+07,232552,232282
355,8478.92,1.35106e+07,1.30694e+07,232133,232560
356,8436.53,1.34307e+07,1.30694e+07,232693,232024
357,8394.34,1.33701e+07,1.30694e+07,232152,232031
358,8352.37,1.3433e+07,1.30694e+07,231496,232604
359,8310.61,1.34297e+07,1.30694e+07,231695,231919
360,8269.06,1.36492e+07,1.30694e+07,232439,231534
361,8227.71,1.35951e+07,1.30694e+07,231524,231744
362,8186.57,1.33966e+07,1.30694e+07,231657,231835
363,8145.64,1.33445e+07,1.30694e+07,231455,231700
364,8104.91,1.34392e+07,1.30694e+07,231233,231615
365,8064.39,1.34333e+07,1.30694e+07,231253,231633
366,8024.07,1.33441e+07,1.30408e+07,231430,231038
367,7983.95,1.33448e+07,1.30408e+07,231402,230745
368,7944.03,1.33692e+07,1.30408e+07,231109,231130
369,7904.31,1.33637e+07,1.30408e+07,230955,230845
370,7864.78,1.34551e+07,1.30408e+07,230826,230785
371,7825.46,1.3458e+07,1.30282e+07,231066,230317
372,7786.33,1.33135e+07,1.30282e+07,230438,231235
373,7747.4,1.34241e+07,1.30282e+07,231020,230222
374,7708.66,1.32217e+07,1.29845e+07,229980,230671
375,7670.12,1.3262e+07,1.29845e+07,229819,230793
376,7631.77,1.33334e+07,1.29381e+07,230439,230137
377,7593.61,1.31946e+07,1.29381e+07,230030,230188
378,7555.64,1.33915e+07,1.29381e+07,229918,230272
379,7517.87,1.31433e+07,1.29381e+07,229443,230230
380,7480.28,1.33621e+07,1.29381e+07,229772,229752
381,7442.87,1.32519e+07,1.29381e+07,229922,230067
382,7405.66,1.31778e+07,1.29381e+07,229817,229582
383,7368.63,1.33444e+07,1.29381e+07,229441,229598
384,7331.79,1.32573e+07,1.29381e+07,229156,229606
385,7295.13,1.31638e+07,1.29381e+07,228941,229699
386,7258.65,1.31637e+07,1.29381e+07,229187,229662
387,7222.36,1.33717e+07,1.29381e+07,228862,229225
388,7186.25,1.30992e+07,1.28094e+07,228745,229070
389,7150.32,1.34e+07,1.28094e+07,228859,229092
390,7114.57,1.3133e+07,1.28094e+07,229008,228700
391,7078.99,1.32604e+07,1.28094e+07,228910,228683
392,7043.6,1.299e+07,1.28094e+07,228734,228274
393,7008.38,1.32908e+07,1.28094e+07,228743,228487
394,6973.34,1.33664e+07,1.28094e+07,228188,228485
395,6938.47,1.31788e+07,1.28094e+07,228706,227748
396,6903.78,1.32327e+07,1.28094e+07,227827,228664
397,6869.26,1.33045e+07,1.28094e+07,227528,228115
398,6834.91,1.3149e+07,1.28094e+07,227602,228203
399,6800.74,1.31245e+07,1.28094e+07,227578,228329
400,6766.74,1.33422e+07,1.28094e+07,227539,227293
401,6732.9,1.31771e+07,1.28094e+07,227718,227509
402,6699.24,1.30602e+07,1.28094e+07,227304,227323
403,6665.74,1.31799e+07,1.27945e+07,227345,227330
404,6632.41,1.30409e+07,1.27945e+07,227332,226938
405,6599.25,1.31869e+07,1.27945e+07,227596,226819
406,6566.25,1.32745e+07,1.27727e+07,226803,227089
407,6533.42,1.29989e+07,1.27727e+07,226596,226771
408,6500.76,1.29153e+07,1.27727e+07,226561,226078
409,6468.25,1.32914e+07,1.27727e+07,226435,226838
410,6435.91,1.31888e+07,1.27727e+07,226311,226607
411,6403.73,1.32184e+07,1.27395e+07,227055,225631
412,6371.71,1.31139e+07,1.27395e+07,225802,226300
413,6339.85,1.29858e+07,1.27395e+07,225455,226681
414,6308.15,1.3031e+07,1.27395e+07,225766,225778
415,6276.61,1.30729e+07,1.27244e+07,225373,226160
416,6245.23,1.29231e+07,1.2693e+07,225848,224996
417,6214,1.27622e+07,1.2693e+07,225374,225393
418,6182.93,1.30035e+07,1.2693e+07,225694,225705
419,6152.02,1.30681e+07,1.2693e+07,225141,225588
420,6121.26,1.30581e+07,1.2693e+07,225704,225005
421,6090.65,1.31911e+07,1.2693e+07,224963,224852
422,6060.2,1.3268e+07,1.2693e+07,225009,225127
423,6029.9,1.29262e+07,1.26499e+07,224915,224660
424,5999.75,1.28454e+07,1.26499e+07,224648,224853
425,5969.75,1.30808e+07,1.26499e+07,224791,224499
426,5939.9,1.2876e+07,1.264e+07,224450,224059
427,5910.2,1.29526e+07,1.25378e+07,224040,223966
428,5880.65,1.29558e+07,1.25378e+07,224039,224635
429,5851.25,1.30433e+07,1.25378e+07,224349,223739
430,5821.99,1.28947e+07,1.25378e+07,223382,223457
431,5792.88,1.28102e+07,1.25378e+07,223293,223783
432,5763.92,1.30018e+07,1.25378e+07,223372,223672
433,5735.1,1.29408e+07,1.25378e+07,223483,223594
434,5706.42,1.29884e+07,1.25378e+07,222819,223054
435,5677.89,1.28871e+07,1.25248e+07,223145,222776
436,5649.5,1.27931e+07,1.25248e+07,223272,223001
437,5621.25,1.28622e+07,1.25248e+07,223098,222564
438,5593.15,1.28402e+07,1.25248e+07,222698,222807
439,5565.18,1.30113e+07,1.25248e+07,222871,222827
440,5537.36,1.28485e+07,1.25084e+07,222560,222403
441,5509.67,1.27913e+07,1.24204e+07,222419,222378
442,5482.12,1.28531e+07,1.24204e+07,222070,222025
443,5454.71,1.28195e+07,1.24204e+07,222112,221560
444,5427.44,1.28184e+07,1.24204e+07,221771,221716
445,5400.3,1.28045e+07,1.24204e+07,221656,221306
446,5373.3,1.29389e+07,1.24204e+07,221542,221689
447,5346.43,1.27624e+07,1.24204e+07,221419,220993
448,5319.7,1.27225e+07,1.24204e+07,221717,221343
449,5293.1,1.28394e+07,1.24204e+07,221380,221258
450,5266.64,1.27488e+07,1.24166e+07,220752,221147
451,5240.3,1.27052e+07,1.24166e+07,220578,220414
452,5214.1,1.27495e+07,1.24166e+07,220735,220642
453,5188.03,1.25565e+07,1.23839e+07,220439,220380
454,5162.09,1.27532e+07,1.23549e+07,219870,220159
455,5136.28,1.28041e+07,1.23055e+07,219784,220165
456,5110.6,1.27913e+07,1.23055e+07,219834,220195
457,5085.05,1.27417e+07,1.23055e+07,219794,220435
458,5059.62,1.26886e+07,1.23055e+07,219539,219601
459,5034.32,1.26547e+07,1.23055e+07,219497,218834
460,5009.15,1.26823e+07,1.23055e+07,219412,219447
461,4984.1,1.2805e+07,1.22761e+07,218992,219031
462,4959.18,1.26083e+07,1.22761e+07,219243,219017
463,4934.39,1.25212e+07,1.22761e+07,218311,219161
464,4909.72,1.28867e+07,1.22761e+07,218586,218636
465,4885.17,1.26938e+07,1.22761e+07,218616,218593
466,4860.74,1.26172e+07,1.2251e+07,217977,218121
467,4836.44,1.27842e+07,1.2251e+07,218660,218103
468,4812.26,1.25545e+07,1.2251e+07,218376,218023
469,4788.19,1.24736e+07,1.22126e+07,217895,217743
470,4764.25,1.24254e+07,1.21161e+07,217465,217659
471,4740.43,1.24888e+07,1.21161e+07,217473,217295
472,4716.73,1.25837e+07,1.21161e+07,217968,217590
473,4693.15,1.24297e+07,1.21161e+07,217296,217011
474,4669.68,1.23494e+07,1.21161e+07,216462,216925
475,4646.33,1.25299e+07,1.21161e+07,216719,217133
476,4623.1,1.25493e+07,1.21161e+07,216264,217051
477,4599.99,1.25112e+07,1.21161e+07,216176,216736
478,4576.99,1.23981e+07,1.21161e+07,216806,216395
479,4554.1,1.25186e+07,1.21161e+07,216039,216305
480,4531.33,1.24771e+07,1.21017e+07,215786,215854
481,4508.67,1.243e+07,1.21017e+07,216132,215944
482,4486.13,1.24195e+07,1.21017e+07,215485,215447
