iteration,bestCost
441,6.04933e+07
442,6.04687e+07
443,6.04425e+07
444,6.04203e+07
445,6.03968e+07
446,6.03748e+07
447,6.0352e+07
448,6.03255e+07
449,6.03037e+07
450,6.02819e+07
451,6.02578e+07
452,6.02373e+07
453,6.02175e+07
454,6.01958e+07
455,6.0169e+07
456,6.01491e+07
457,6.01263e+07
458,6.01043e+07
459,6.00826e+07
460,6.00561e+07
461,6.00306e+07
462,6.00061e+07
463,5.99828e+07
464,5.99602e+07
465,5.99366e+07
466,5.99162e+07
467,5.98927e+07
468,5.98677e+07
469,5.98466e+07
470,5.98241e+07
471,5.98008e+07
472,5.97785e+07
473,5.97556e+07
474,5.97346e+07
475,5.97096e+07
476,5.96856e+07
477,5.96645e+07
478,5.96408e+07
479,5.96204e+07
480,5.95982e+07
481,5.95735e+07
482,5.95472e+07
483,5.9525e+07
484,5.95017e+07
485,5.94793e+07
486,5.94528e+07
487,5.94294e+07
488,5.94086e+07
489,5.93831e+07
490,5.93574e+07
491,5.93347e+07
492,5.93063e+07
493,5.92775e+07
494,5.925e+07
495,5.92261e+07
496,5.92029e+07
497,5.91817e+07
498,5.91608e+07
499,5.91357e+07
500,5.91148e+07
501,5.90867e+07
502,5.90642e+07
503,5.90428e+07
504,5.90213e+07
505,5.89937e+07
506,5.89673e+07
507,5.89443e+07
508,5.89208e+07
509,5.88969e+07
510,5.88717e+07
511,5.88462e+07
512,5.88263e+07
513,5.88032e+07
514,5.87841e+07
515,5.87618e+07
516,5.8741e+07
517,5.87157e+07
518,5.86928e+07
519,5.86678e+07
520,5.86476e+07
521,5.8626e+07
522,5.86007e+07
523,5.8579e+07
524,5.85529e+07
525,5.85297e+07
526,5.85073e+07
527,5.84845e+07
528,5.84568e+07
529,5.84339e+07
530,5.84065e+07
531,5.83787e+07
532,5.83572e+07
533,5.83343e+07
534,5.83066e+07
535,5.82804e+07
536,5.82587e+07
537,5.82357e+07
538,5.82129e+07
539,5.81891e+07
540,5.81672e+07
541,5.81401e+07
542,5.81169e+07
543,5.80939e+07
544,5.80723e+07
545,5.80522e+07
546,5.80273e+07
547,5.80039e+07
548,5.79845e+07
549,5.79621e+07
550,5.79409e+07
551,5.79199e+07
552,5.78939e+07
553,5.78708e+07
554,5.7849e+07
555,5.78257e+07
556,5.78025e+07
557,5.77797e+07
558,5.77581e+07
559,5.77368e+07
560,5.77153e+07
561,5.76935e+07
562,5.76733e+07
563,5.76506e+07
564,5.76296e+07
565,5.76042e+07
566,5.75807e+07
567,5.75567e+07
568,5.7534e+07
569,5.75069e+07
570,5.74877e+07
571,5.74643e+07
572,5.74435e+07
573,5.74206e+07
574,5.73958e+07
575,5.73754e+07
576,5.73529e+07
577,5.73327e+07
